id,text,screen_name,time
726934271533977600,#Financial #Markets Technical Analysis &amp; #Charts on $AAPL &amp; More in the #mtbanalysis Mag! https://t.co/WH43vbQLhE https://t.co/FYvWgK82R3,pbrat40plus,Mon May 02 00:40:10 +0000 2016
726934270422450176,#Financial #Markets Technical Analysis &amp; #Charts on $AAPL &amp; More in the #mtbanalysis Mag! https://t.co/rUacJYzV8S https://t.co/RytGkY83US,investingbuddy,Mon May 02 00:40:10 +0000 2016
726934269550059520,#Financial #Markets Technical Analysis &amp; #Charts on $AAPL &amp; More in the #mtbanalysis Mag! https://t.co/dCnRwi6rmu https://t.co/typyy0uNp0,Futures_Buddy,Mon May 02 00:40:10 +0000 2016
726934268958662657,#Financial #Markets Technical Analysis &amp; #Charts on $AAPL &amp; More in the #mtbanalysis Mag! https://t.co/u0eIObUtJf https://t.co/hU6xgn5vkx,uk_stocktweets,Mon May 02 00:40:10 +0000 2016
726934268375617536,#Financial #Markets Technical Analysis &amp; #Charts on $AAPL &amp; More in the #mtbanalysis Mag! https://t.co/ffkYNvgsKT https://t.co/yzp8fXNdSN,Options_Buddy,Mon May 02 00:40:10 +0000 2016
726933910492336128,https://t.co/mAqge0snxU &lt;-- timothy sykes guide to the best #pennystock brokers! Must see free video! $CASY $AKRX $AAPL $OCUL $RGA,Trade_Alertinto,Mon May 02 00:38:44 +0000 2016
726933459130703872,[$$] From Apple to Facebook: What Tech Investors Want Now: [at The Wall Street Journal] ... https://t.co/98bapl796C $AAPL $GOOG $PCLN $K,Stockology101,Mon May 02 00:36:57 +0000 2016
726933144725680129,#iPhone share inches up in US/UK - $AAPL https://t.co/kKa39m5DJc #Android $GOOGL #smartphone,MobilePotpurri,Mon May 02 00:35:42 +0000 2016
726932975724568576,@SmallCapLS And so any profit oppty of buying the cheaper $AAPL over the more expensive $FB will not have been in any way affected.,Jesse_Livermore,Mon May 02 00:35:01 +0000 2016
726932798620069888,"@SmallCapLS e.g., If $AAPL is cheaper than $FB b/f the index mutual fund pulls them both down in selloff, it will be just as cheaper after.",Jesse_Livermore,Mon May 02 00:34:19 +0000 2016
726931289798905856,Apple's $10 Billion Profit Is Not Enough? https://t.co/UVLNtJNumb $AAPL #APPLE,SAlphaTech,Mon May 02 00:28:19 +0000 2016
726930489131421697,Adjust your timeframe and stock #market risk evaporates https://t.co/QH4NUMS2Jd $AAPL $SNY,ZagaInvestment,Mon May 02 00:25:08 +0000 2016
726930000700534784,Short set up $AAPL https://t.co/EisHsxzpQr,TV_TradingIdeas,Mon May 02 00:23:12 +0000 2016
726930000599883776,$AAPL chart: Short set up. https://t.co/FKDiVYDNBA,JFDI,Mon May 02 00:23:12 +0000 2016
726929590325764096,Ichan could be wrong on $AAPL. Agree https://t.co/ruFhYe1qR7,DanS916,Mon May 02 00:21:34 +0000 2016
726928645080670208,"$AAPL Market did good play on newbies down more than 10$... But I will still hold , $APPL price 150$ and above...",viptrader72,Mon May 02 00:17:49 +0000 2016
726928612998283264,Report: #AppleWatch share dropped from 63% to 52% in global #smartwatch marketshare - $AAPL https://t.co/lj1gEew9Gg #wearables,MobilePotpurri,Mon May 02 00:17:41 +0000 2016
726928311805349889,Commented on StockTwits: $AAPL LOOKING to ADD a lot more SHORT at $104.... https://t.co/RXmsR00cbL,tradewithmojo,Mon May 02 00:16:29 +0000 2016
726928115239280640,Optically Cheap Capital Reinsurance? $AAPL $AMZN https://t.co/P6KSOoVYAC,inner_scorecard,Mon May 02 00:15:43 +0000 2016
726928008116719616,Hmm .. why #Apple’s problems in #China are likely to get much worse - $AAPL #mobile #iPhone #iTunes https://t.co/ZuO7OThYFc,MobilePotpurri,Mon May 02 00:15:17 +0000 2016
726927948511514624,$AAPL Watch this last video and see how #Elliottwave help you to understand the Main bias: https://t.co/vzNBXueoky #elliottwave,bhattidaud,Mon May 02 00:15:03 +0000 2016
726927948079460352,$AAPL Watch this last video and see how #Elliottwave help you to understand the Main bias: https://t.co/6AICTdrwpc #elliottwave,EMECapital1,Mon May 02 00:15:03 +0000 2016
726927761055457280,Dow logs worst one-day point drop since Feb. 11; #Apple weighs. Read more: https://t.co/fr7O5tJMsp $AAPL,_peripherals,Mon May 02 00:14:18 +0000 2016
726927761047085056,Dow logs worst one-day point drop since Feb. 11; #Apple weighs. Read more: https://t.co/EBFfAaGZbR $AAPL,computer_hware,Mon May 02 00:14:18 +0000 2016
726927761038696448,Dow logs worst one-day point drop since Feb. 11; #Apple weighs. Read more: https://t.co/rEzVOBIEOx $AAPL,electronic_eqpt,Mon May 02 00:14:18 +0000 2016
726927180412891136,@ScottishPoacher @Varneyco @FoxBusiness @TeamCavuto @FoxNews $CRUS a monster - we took profits but always liked on dips- didn't fall w $AAPL,cvpayne,Mon May 02 00:12:00 +0000 2016
726925464317644800,$AAPL needs an #iPhone Killer https://t.co/CjdY01EOui,CommsBar,Mon May 02 00:05:10 +0000 2016
726925385074630656,See what's everyone doing with $AAPL tomorrow...but on dip or sell it? Short?,sportzcrazed,Mon May 02 00:04:52 +0000 2016
726925040248303616,Inside Pandora's Plan to Reinvent Itself -- and Beat Back Apple and Spotify: https://t.co/TswEQZow6W. $AAPL $P $SPTF,KesslerSPGlobal,Mon May 02 00:03:29 +0000 2016
726924918156201984,"@cheri1  $AAPL Good God, Girl!! KEEP your eyes on the CRASH UNDER $92 https://t.co/zuQSc0qzh1 https://t.co/miPDHdYtyE",tradewithmojo,Mon May 02 00:03:00 +0000 2016
726924573132861440,"Did #CarlIcahn Sell #Apple Due To #China Or For Another Reason - Forbes
$AAPL #Earnings #iPhones #AppleStuff https://t.co/dyurWcRVwF",MoMoney4U,Mon May 02 00:01:38 +0000 2016
726924131166507009,"Not enough scared $twtr investors to stop it from going down more? 😱

$fb $aapl $spy $tsla",danny121683,Sun May 01 23:59:53 +0000 2016
726923656782307328,Usually small losses &amp; small to modest gains. $AAPL was big time.,optionsNYC,Sun May 01 23:58:00 +0000 2016
726923486703304708,nailing those $AAPL put trades last week was a great feeling. Not a lot of trades under my belt to this point.,optionsNYC,Sun May 01 23:57:19 +0000 2016
