id,text,screen_name,time
726976568350793729,Dividend Raises And Cuts For April 2016 https://t.co/KBmJw6Y9OP $AAPL #APPLE $AWK $COST $CP $FR $IBM $JNJ $JNS $LAD $NE $NOV $NRG $OHI $PG,SA_IncomeInvest,Mon May 02 03:28:15 +0000 2016
726941030130425858,Bert's April Dividend Income Summary https://t.co/l6jKFar50h $GSK $PFE $PG $IBM $JNJ,SEEKINGALPHA_FS,Mon May 02 01:07:02 +0000 2016
726941028846997504,Bert's April Dividend Income Summary https://t.co/OcdXA7k7uj $GSK $PFE $PG $IBM $JNJ,SA_IncomeInvest,Mon May 02 01:07:01 +0000 2016
726887807000563714,"PG Quotes
See Here ---&gt; https://t.co/77pN1ZMrtC

$PG $ABCW $WDAY #investing",kenedwards_ken,Sun May 01 21:35:32 +0000 2016
726853771008073728,"@StockCats With all the Bounty you are going through, it's time to increase my position in $PG. ;)",jillfraser13,Sun May 01 19:20:17 +0000 2016
726825638137466880,$XOM $JNJ $PG $WMT good covered call stocks,HedgeTamer,Sun May 01 17:28:30 +0000 2016
726808948154728449,Notable Dividend Increases – April 2016 -  https://t.co/McDvYMCi9C $JNJ $PG $IBM #stocks #investing,DvdndDiplomats,Sun May 01 16:22:11 +0000 2016
726784249324425217,Dogs Of The Dow Outpacing Broader Market https://t.co/sJHqpjsDtr $WMT $INTC $CAT $CVX $XOM $VZ $IBM $MRK $CSCO $PG $PFE,SEEKINGALPHA_FS,Sun May 01 14:44:02 +0000 2016
726784247713816579,Dogs Of The Dow Outpacing Broader Market https://t.co/nicQkCpIDL $WMT $INTC $CAT $CVX $XOM $VZ $IBM $MRK $CSCO $PG $PFE,SA_Dividends,Sun May 01 14:44:02 +0000 2016
726784246526840832,Dogs Of The Dow Outpacing Broader Market https://t.co/fhOgPV6Bri $WMT $INTC $CAT $CVX $XOM $VZ $IBM $MRK $CSCO $PG $PFE,SA_IncomeInvest,Sun May 01 14:44:02 +0000 2016
726775460735115265,$PG:US Procter &amp; Gamble Co (PG) Stake Boosted by Westbourne Investment Advisors Inc. #PROCTER &amp; GAMBLE CO  https://t.co/R4vz4ozjRg #SP500,FinSentS_SP500,Sun May 01 14:09:07 +0000 2016
726770554544508928,Procter &amp; Gamble Co $PG Shares Bought by Crossvault Capital Management LLC https://t.co/hN1dERoWUV,dailypoliticaln,Sun May 01 13:49:37 +0000 2016
726770475666382848,State of Alaska Department of Revenue Boosts Position in Procter &amp; Gamble Co $PG https://t.co/i4PR1oxfDl,TickerReport,Sun May 01 13:49:18 +0000 2016
726770473732808704,DE Burlo Group Inc. Purchases New Position in Procter &amp; Gamble Co $PG https://t.co/F57ncMgtgY,TickerReport,Sun May 01 13:49:18 +0000 2016
726770029669310464,State of Alaska Department of Revenue Boosts Position in Procter &amp; Gamble Co $PG https://t.co/n2BuWQsWnf,AmericanBanking,Sun May 01 13:47:32 +0000 2016
726770027349835776,DE Burlo Group Inc. Purchases New Position in Procter &amp; Gamble Co $PG https://t.co/JKJofVoJbu,AmericanBanking,Sun May 01 13:47:31 +0000 2016
726767777869103105,B. Riley Comments on Procter &amp; Gamble Co’s Q4 2016 Earnings $PG https://t.co/zFmOGEYE0S,dakotafinancial,Sun May 01 13:38:35 +0000 2016
726766748146491392,B. Riley Comments on Procter &amp; Gamble Co’s Q4 2016 Earnings $PG https://t.co/wxa1kUZcAK,dailypoliticaln,Sun May 01 13:34:30 +0000 2016
726747932070928384,FY2016 EPS Estimates for Procter &amp; Gamble Co Raised by Credit Agricole $PG https://t.co/6dDsLN6VS1,dailypoliticaln,Sun May 01 12:19:43 +0000 2016
726744822980218883,SunTrust Analysts Lift Earnings Estimates for Procter &amp; Gamble Co $PG https://t.co/4QgtQY0H4A,WKRBNews,Sun May 01 12:07:22 +0000 2016
726744820216160256,FY2016 EPS Estimates for Procter &amp; Gamble Co Raised by Credit Agricole $PG https://t.co/croL87Dbht,WKRBNews,Sun May 01 12:07:22 +0000 2016
726737039329124352,https://t.co/nferIEd0TT Begin your trading journey with a world class stock trader [REVIEW]..$COH $PG $NEM $TSO $F,PorschePicks,Sun May 01 11:36:26 +0000 2016
726725182275072000,First Niagara Bank Decreases Stake in Procter &amp; Gamble Co $PG https://t.co/xww7DBko6o,dailypoliticaln,Sun May 01 10:49:20 +0000 2016
726719875964669952,"These 5 Dividend Aristocrats Cover 5 Sectors
$XOM $PG $ABT $T $AFL
https://t.co/mvZENE7yS8",SureDividend,Sun May 01 10:28:14 +0000 2016
726715251530469376,"Viral Video on how to invest like WARREN BUFFETT! https://t.co/IWj2zRczeG
$AAPL $GOOG $AMZN $WMT $DOW $DD $MCD $F $GM $GE $JNJ $PG $KMB $TGT",toptrader2015,Sun May 01 10:09:52 +0000 2016
726690412950331392,"Lenox Wealth Management Inc. Has $46,905,000 Position in Procter &amp; Gamble Co $PG https://t.co/BUxagaZMJN",SleekMoneycom,Sun May 01 08:31:10 +0000 2016
726684428815183873,Procter &amp; Gamble Co $PG Stake Increased by Wafra Investment Advisory Group Inc. NY https://t.co/PXXK7SB0ps,WKRBNews,Sun May 01 08:07:23 +0000 2016
726627276620632066,"Colgate-Palmolive Company - Not Just Surviving, But Thriving https://t.co/xuSICq1Dh3 $COST $PG $WMT $CL",SEEKINGALPHA_FS,Sun May 01 04:20:17 +0000 2016
726627275374923776,"Colgate-Palmolive Company - Not Just Surviving, But Thriving https://t.co/fvCE6cKn3m $COST $PG $WMT $CL",Consumer_SA,Sun May 01 04:20:17 +0000 2016
